code,date,ret,label,er10_t4,volshrink,pillar_pct,pillar_body_atr,pillar_vr20,pillar_volmult,breakout,clean_max_body,clean_max_vr,test_vol_ratio,hold_depth,t_close_vs_pillar,pb20_t,roc60_t,roc120_t,bias120_t,atrp30_t,er20_t,win
sz.002139,2021-05-24,0.1205540355677155,tp,0.2934131736526948,0.7553744724587598,10.0,2.0225409836065555,1.501491545554082,1.6768875054934973,0.004881450488145145,1.768483102121612,1.5538131433789755,0.5523829823815536,1.1489361702127658,0.1489361702127658,0.8588547806037283,0.46682360307315474,0.6974252928290636,0.383581947585512,0.04691557783496321,0.1687898089171973,True
sz.002142,2019-11-06,-0.03664921465968582,stop,0.03514376996805205,0.6872921162620532,5.4054,1.6490939044481097,1.3658231297162915,1.71018646238038,0.001054852320675037,1.5555555555555574,1.7155146614869472,0.7007884368081019,0.8601398601398592,0.125874125874124,1.044415838045328,0.2911221270842721,0.3158539622898615,0.19823959408004013,0.03218150087260032,0.2676056338028165,False
sz.002142,2022-09-05,-0.03771043771043761,stop,0.14084507042253583,0.978705932315133,5.5182,1.7588961510530081,2.3048140909371955,2.362532572466395,-0.1698194005716006,1.222312045270821,1.5783424325875157,0.37125761261488593,0.9017341040462429,-0.09826589595375707,0.7781131376794523,-0.0910837516794687,-0.1674759384335306,-0.10217955522902585,0.03087210609125647,0.029702970297029313,False
sz.002142,2022-11-16,0.08080013976240398,tp,0.34749034749034824,0.7667617191237847,8.871,1.6258631512868817,2.166247600431904,2.320115147387808,-0.13514338010982296,1.9360667129951392,2.5685765953607715,0.6623786551868568,1.1297297297297284,0.1297297297297283,0.8534816894978249,-0.00969864911673024,-0.1299138216502611,-0.06321603295051753,0.038778127550425555,0.007183908045977087,True
sz.002142,2024-01-30,-0.03750000000000025,stop,0.14772727272727204,1.0427763001513688,7.3604,2.3566084788029924,2.5549839654120476,2.9688928878349823,-0.16666666666666663,1.466284074605458,1.5244504508917847,0.584300980305314,1.3481481481481496,0.38518518518518763,0.9915693989723959,-0.14007936507936503,-0.23046875,-0.09964060411747175,0.025749884633133328,0.3100158982511936,False
sz.002145,2021-11-23,-0.03772189349112425,stop,0.25925925925925997,0.9408209983310543,6.9804,1.4669703872437334,1.9932466978411247,2.2017929387957698,-0.3247524752475247,1.143790849673199,1.6885405303444407,0.5881782634281347,0.9021739130434793,-0.09782608695652076,0.635812760577004,-0.2920585161964472,0.04230769230769216,-0.12584404971829158,0.046248462484624824,0.24324324324324345,False
sz.002148,2021-08-05,-0.035564853556485386,stop,0.04347826086956564,0.9109236964749886,6.4588,1.7573221757322164,2.7507538017051845,2.793770184789582,-0.03238866396761153,1.2205128205128226,1.8943449965666588,0.538827186530782,1.0,0.0,0.8430726138912902,0.16015358656319134,0.2609037664489422,0.13386558914324612,0.030892608089260826,0.2727272727272721,False
sz.002149,2023-04-06,-0.06655092592592596,stop,0.10288065843621313,0.6953967593289699,9.9807,2.1269841269841234,2.7541817485027162,4.130720483120217,-0.08858057630736405,1.771197846567967,3.2630703770878737,0.4934080534978203,0.8283582089552267,0.08208955223880823,0.8650471717835295,0.04625684723067547,0.12869336835193712,0.07162338370745948,0.03670738801628852,0.020804438280166475,False
sz.002152,2020-07-03,0.08015267175572514,tp,0.28647502272331793,0.9531079150529286,6.7657,1.6724242813396348,1.7458138827559149,1.799655992246844,-0.09631258724639324,1.4968553459119491,1.453604795318594,0.7387690279028729,0.7738095238095238,0.0,0.8930889291975743,0.4649461870422822,0.3597543683670541,0.2033990793332828,0.036233838978075486,0.24900901334938222,True
sz.002152,2023-08-09,-0.029264214046822848,stop,0.16831683168316794,0.8298152198015034,5.6424,2.1071428571428537,3.16067397382577,4.08623929035217,-0.06528417818740384,1.2142857142857124,1.2138586719116957,0.36909589655411945,0.7118644067796597,-0.28813559322034027,0.8539021896795266,0.046031387100119225,0.1388166175151624,0.02718476378326824,0.022250000000000037,0.252595155709341,False
sz.002152,2024-12-03,-0.0409956076134699,stop,0.2093023255813952,0.9565580734020653,10.0418,1.580645161290323,2.6201146070735972,2.952419648157716,-0.02448071216617209,1.6138888888888903,1.675423712835594,0.7857843162719198,0.9142857142857149,0.48571428571428404,1.0820846098248345,0.4501061571125262,0.2826658080043396,0.27920930333032284,0.041727672035139114,0.26565143824027093,False
sz.002153,2019-12-30,0.028121310316050967,tp,0.04121475054230025,0.9483919664531595,5.8518,1.8390949088623536,1.7863649378273163,1.7717533389186133,-0.11721778791334092,1.3030303030303108,1.2134094079069264,0.6880794536468324,1.0861244019138734,0.28229665071769927,0.9120096334276508,-0.0038022813688215473,0.10548523206751059,0.06513205740330001,0.031628498727735356,0.33953488372093027,True
sz.002153,2020-07-09,-0.053640776699029315,stop,0.009954171892678007,0.7768116561002867,6.8353,1.3387989424339701,1.6675815298706844,2.184671188263364,-0.027867376966090762,2.696233292831108,3.7269618146734014,0.5865950364477123,1.4590909090909085,0.6772727272727235,0.995841373278301,0.332223335211423,0.02060178774241428,0.1822455541024734,0.03697316222156437,0.5075302635823008,False
